name_raw,list_type,authority
Name,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Alpari,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Anyfx,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Ava Trade,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Binomo,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
eToro,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Exness,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Expert Option,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
FBS,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
FinFxPro,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Forex.com,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Forex4money,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Foxorex,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
FTMO,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
FVP Trade,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
FXPrimus,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
FX Street,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
FXCM,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
FxNice,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
FXTM,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
HotForex,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
ibell Markets,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
IC Markets,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
iFOREX,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
IG Markets,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
IQ Option,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
NTS Forex Trading,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
OctaFX,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Olymp Trade,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
TD Ameritrade,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
TP Global FX,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Trade Sight FX,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Urban Forex,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
XM,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
XTB,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Quotex,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
FX Western,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Pocket Option,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Tickmill,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Cabana Capitals,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Vantage Markets,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
VT Markets,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Iron Fx,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Infinox,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
BD Swiss,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
FP Markets,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
MetaTrader 4,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
MetaTrader 5,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Pepperstone,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
QFX Markets,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Guru Trade7 Limited,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Bric Trade,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Rubik Trade,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Dream Trade,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Mini Trade,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Trust Trade,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Admiral Market,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
BlackBull,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Easy Markets,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Enclave FX,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Finowiz Fintech Limited,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
FX SmartBull,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Fx Tray Market,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Forex4you,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
GoDo FX,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Growing Capital Services Ltd.,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
HF Markets,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
HYCM Capital Markets,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
JGCFX,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Just Markets,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
PU Prime,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Real Gold Capital Ltd.,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
TNFX,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Ya Markets,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Gate Trade,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Ranger Capital,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
TDFX,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Inefex,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
YorkerFX,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Growline,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Think Markets,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Smart Prop Trader,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
FundedNext,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Weltrade,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
FreshForex,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
FX Road,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
DBG Markets,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Plusonetrade,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Starnet FX,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
CapPlace,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Mirrox,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Fusion Markets,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Trive,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
NXG Markets,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
Nord FX,rbi_alert_list,RBI Alert List — unauthorised forex/ETP platforms
