gstin,trade_name,state,reason
27AAQFP2892P1Z6,PAARICHEM RESOURCES LLP,Maharashtra,Listed on: Consolidated Sanctions (OpenSanctions) - India-linked
27AAZFK8713F2ZQ,KS International Traders,Maharashtra,Listed on: Consolidated Sanctions (OpenSanctions) - India-linked
07AAAFB4846K1ZE,B K SALES CORPORATION,Delhi,Listed on: Consolidated Sanctions (OpenSanctions) - India-linked
27AATPM1279L1ZY,MODY CHEM,Maharashtra,Listed on: Consolidated Sanctions (OpenSanctions) - India-linked
06AAFFI1755F1ZL,Innovio Ventures,Haryana,Listed on: Consolidated Sanctions (OpenSanctions) - India-linked
27AADCA3124B1ZE,SBL Energy Limited,Maharashtra,Listed on: Consolidated Sanctions (OpenSanctions) - India-linked
24ACAFA5723C1Z2,Agrat Chemicals and Pharmaceuticals,Gujarat,Listed on: Consolidated Sanctions (OpenSanctions) - India-linked
27AAICV1712B1ZQ,VEGA STAR SHIP MANAGEMENT PRIVATE LIMITED,Maharashtra,Listed on: Consolidated Sanctions (OpenSanctions) - India-linked
27AACCO3869L1ZW,O.S.D BROS TRAVELS & VISA SERVICES PRIVATE LIMITED,Maharashtra,Listed on: Consolidated Sanctions (OpenSanctions) - India-linked
24ACSFS6682G1ZI,SR Chemicals and Pharmaceuticals,Gujarat,Listed on: Consolidated Sanctions (OpenSanctions) - India-linked
27AADFR2284G1Z6,RAMNIKLAL S GOSALIA AND COMPANY,Maharashtra,Listed on: Consolidated Sanctions (OpenSanctions) - India-linked
27AAKCC3982G1ZD,CHEMOVICK PRIVATE LIMITED,Maharashtra,Listed on: Consolidated Sanctions (OpenSanctions) - India-linked
27AANCM1876A1ZF,Marshal Ship Management Private Limited,Maharashtra,Listed on: Consolidated Sanctions (OpenSanctions) - India-linked
27AAAFC5600N2ZI,C. J. SHAH AND CO.,Maharashtra,Listed on: Consolidated Sanctions (OpenSanctions) - India-linked
